Term,Odds Ratio,SE,P-Value,95% CI Low,95% CI High
(Intercept),0.02,0.05,<0.05,0.01,0.02
pha,1.94,0.01,<0.05,1.88,1.99
Age,1.04,0,<0.05,1.04,1.04
Male,1.17,0.01,<0.05,1.15,1.19
Multiple,1.33,0.08,<0.05,1.13,1.56
Asian,1.02,0.05,0.71,0.93,1.12
Asian PI,0.37,0.05,<0.05,0.33,0.41
Black,0.82,0.05,<0.05,0.75,0.9
Latino,0.64,0.05,<0.05,0.58,0.71
Multiple,0.81,0.05,<0.05,0.74,0.89
NH/PI,1.54,0.05,<0.05,1.39,1.71
Other,0.42,0.06,<0.05,0.37,0.47
Unknown,0.61,0.05,<0.05,0.56,0.68
White,0.36,0.05,<0.05,0.33,0.4
